hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,bf16,4096,1,9.355,8.215,9.142,8.063,8.89,7.423,9.355,8.278,8.702,7.673,8.103,6.46,,,,,13.965,13.284,36.046,31.441,5.054,4.451,5.234,4.571,12.768,11.83,,,0.977,0.95,1.0,0.93,0.866,,,1.493,3.853,0.54,0.559,1.365,
B300,512,bf16,8192,1,11.214,9.317,10.334,9.102,9.459,7.987,10.565,9.355,9.693,8.258,9.327,7.287,,,,,15.702,14.568,35.88,31.62,6.445,5.656,6.483,5.656,13.36,12.119,,,0.922,0.843,0.942,0.864,0.832,,,1.4,3.199,0.575,0.578,1.191,
B300,512,bf16,16384,1,10.96,9.379,11.186,9.545,10.312,8.716,10.928,9.391,10.147,8.577,10.058,9.538,,,,,18.45,16.89,36.09,31.981,9.346,8.662,9.41,8.662,14.53,13.487,,,1.021,0.941,0.997,0.926,0.918,,,1.683,3.293,0.853,0.859,1.326,
B300,512,bf16,32768,1,14.022,11.103,13.435,11.725,12.347,10.593,13.846,11.9,12.59,10.607,11.805,9.831,,,,,23.298,20.632,37.752,33.882,14.264,13.116,13.41,12.441,14.39,13.119,,,0.958,0.881,0.987,0.898,0.842,,,1.661,2.692,1.017,0.956,1.026,
B300,512,bf16,65536,1,19.298,16.543,15.968,14.403,15.662,14.147,14.941,13.038,14.654,12.729,14.476,12.605,,,,,32.586,28.446,39.147,35.318,14.277,13.164,21.486,20.035,14.17,13.133,,,0.827,0.812,0.774,0.759,0.75,,,1.689,2.029,0.74,1.113,0.734,
B300,512,bf16,131072,1,28.45,24.534,22.754,20.934,22.205,20.669,15.306,13.96,15.154,13.82,19.098,17.129,,,,,53.074,44.54,41.131,36.8,13.914,13.025,,,13.87,13.029,,,0.8,0.78,0.538,0.533,0.671,,,1.866,1.446,0.489,,0.488,
B300,512,bf16,262144,1,48.134,41.503,35.619,33.761,34.149,32.647,19.795,18.273,18.552,17.178,28.868,27.777,,,,,92.395,76.163,44.741,39.923,13.952,13.068,,,13.97,13.066,,,0.74,0.709,0.411,0.385,0.6,,,1.92,0.929,0.29,,0.29,
B300,512,fp16,4096,1,9.117,8.003,9.072,7.922,8.762,7.413,9.227,8.096,8.515,7.458,8.103,6.343,,,,,13.923,13.311,36.046,31.535,5.034,4.394,5.114,4.53,12.528,11.606,,,0.995,0.961,1.012,0.934,0.889,,,1.527,3.954,0.552,0.561,1.374,
B300,512,fp16,8192,1,10.65,9.352,10.253,8.999,9.547,8.135,10.493,9.181,9.568,8.154,9.677,7.204,,,,,15.568,14.531,36.138,31.652,6.318,5.529,6.349,5.525,13.344,12.038,,,0.963,0.896,0.985,0.898,0.909,,,1.462,3.393,0.593,0.596,1.253,
B300,512,fp16,16384,1,11.797,10.212,12.006,10.489,10.429,8.847,11.768,10.218,10.24,8.636,11.609,8.748,,,,,18.259,16.836,36.507,32.1,8.931,8.248,8.934,8.243,14.331,13.301,,,1.018,0.884,0.998,0.868,0.984,,,1.548,3.095,0.757,0.757,1.215,
